cancer_type,total_incidence,male,female
ACC,1669,455,704
AML,59610,35670,23940
BLCA,82290,62420,19870
BRCA,300590,2800,297790
CCRCC,81800,29440,52360
CESC,13960,0,13960
COADREAD,153020,81860,71160
DIPG,240,144,96
DLBCLNOS,1650,973,676
ESCA,21560,17030,4530
GBM,14490,8259,6230
HCC,41210,13230,27980
HGSOC,3090,0,3090
HNSC,66470,48520,17950
LUAD,125621,66579,59042
LUSC,120790,67160,59910
PAAD,64050,30920,33130
PLMESO,231,159,72
PRAD,288300,288300,0
SOFT_TISSUE,241,128,112
STAD,26500,15930,10570
UCEC,66200,0,66200
